t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.7734,0.7734,353,0.0611273199319839
0,NY,0.3333333333333333,0.7526,0.7526,324,0.0611273199319839
0,TX,0.3333333333333333,0.7668,0.7668,323,0.0611273199319839
1,CA,0.3350589480048367,0.7784,0.7784,321,0.0392979979515075
1,NY,0.3311290810157195,0.7534,0.7534,319,0.0392979979515075
1,TX,0.3338119709794437,0.7686,0.7686,360,0.0392979979515075
2,CA,0.3372491682662063,0.773,0.773,331,0.0387654304504394
2,NY,0.3286083108718668,0.7554,0.7554,333,0.0387654304504394
2,TX,0.3341425208619267,0.7744,0.7744,336,0.0387654304504394
3,CA,0.3382633299490197,0.773,0.773,329,0.039326012134552
3,NY,0.3263246899373384,0.7542,0.7542,324,0.039326012134552
3,TX,0.3354119801136418,0.769,0.769,347,0.039326012134552
4,CA,0.33969579090553,0.774,0.774,331,0.0384230315685272
4,NY,0.3242317578767573,0.7554,0.7554,305,0.0384230315685272
4,TX,0.3360724512177127,0.7678,0.7678,364,0.0384230315685272
5,CA,0.3412567152594641,0.7786,0.7786,343,0.0389559417963027
5,NY,0.3223065043683767,0.761,0.761,322,0.0389559417963027
5,TX,0.336436780372159,0.7688,0.7688,335,0.0389559417963027
6,CA,0.3429864334714076,0.7782,0.7782,330,0.038561463356018
6,NY,0.3207346450556027,0.7558,0.7558,345,0.038561463356018
6,TX,0.3362789214729897,0.77,0.77,325,0.038561463356018
7,CA,0.3449148576788735,0.7728,0.7728,360,0.0374254956841468
7,NY,0.3184749463601725,0.7466,0.7466,322,0.0374254956841468
7,TX,0.3366101959609541,0.7612,0.7612,318,0.0374254956841468
8,CA,0.3473145413531012,0.7706,0.7706,329,0.0379163399338722
8,NY,0.3159512297209574,0.7532,0.7532,326,0.0379163399338722
8,TX,0.3367342289259413,0.7658,0.7658,345,0.0379163399338722
9,CA,0.3487156028304465,0.774,0.774,342,0.0384530946612358
9,NY,0.3141083382016394,0.754,0.754,310,0.0384530946612358
9,TX,0.3371760589679139,0.768,0.768,348,0.0384530946612358
10,CA,0.3503558415195438,0.7762,0.7762,366,0.0371876284480094
10,NY,0.3120278954319209,0.748,0.748,311,0.0371876284480094
10,TX,0.3376162630485352,0.7616,0.7616,323,0.0371876284480094
11,CA,0.3530848611064313,0.7716,0.7716,347,0.0387621223926544
11,NY,0.3094658412038633,0.755,0.755,306,0.0387621223926544
11,TX,0.3374492976897054,0.767,0.767,347,0.0387621223926544
12,CA,0.3544231304643132,0.7766,0.7766,359,0.0393480062484741
12,NY,0.307728080521884,0.7542,0.7542,307,0.0393480062484741
12,TX,0.3378487890138029,0.7716,0.7716,334,0.0393480062484741
13,CA,0.3561435795808262,0.7756,0.7756,377,0.0392890349030494
13,NY,0.3053230830313335,0.7548,0.7548,304,0.0392890349030494
13,TX,0.3385333373878403,0.7662,0.7662,319,0.0392890349030494
14,CA,0.3580659828261268,0.7724,0.7724,347,0.0384391248226165
14,NY,0.3033751980691999,0.7538,0.7538,289,0.0384391248226165
14,TX,0.3385588191046735,0.7704,0.7704,364,0.0384391248226165
15,CA,0.3593473176213548,0.7768,0.7768,336,0.0386226698756217
15,NY,0.3012657360590817,0.751,0.751,310,0.0386226698756217
15,TX,0.3393869463195634,0.7728,0.7728,354,0.0386226698756217
16,CA,0.3612033849949712,0.7718,0.7718,364,0.0419637411832809
16,NY,0.2984246859714325,0.7546,0.7546,299,0.0419637411832809
16,TX,0.3403719290335962,0.767,0.767,337,0.0419637411832809
17,CA,0.3625881471226329,0.7696,0.7696,353,0.0389506816864013
17,NY,0.2966606641340782,0.7556,0.7556,309,0.0389506816864013
17,TX,0.3407511887432887,0.7684,0.7684,338,0.0389506816864013
18,CA,0.3635253404971104,0.7706,0.7706,366,0.0384636297821998
18,NY,0.2950743873098985,0.758,0.758,309,0.0384636297821998
18,TX,0.3414002721929909,0.7736,0.7736,325,0.0384636297821998
19,CA,0.3640792394708907,0.772,0.772,351,0.0382299348711967
19,NY,0.2934209712301861,0.7506,0.7506,283,0.0382299348711967
19,TX,0.342499789298923,0.7636,0.7636,366,0.0382299348711967
20,CA,0.3659702662876278,0.7758,0.7758,356,0.0383287370204925
20,NY,0.291383022295822,0.7596,0.7596,289,0.0383287370204925
20,TX,0.34264671141655,0.771,0.771,355,0.0383287370204925
21,CA,0.3672867547960028,0.7732,0.7732,395,0.038588635623455
21,NY,0.2897634542477915,0.7564,0.7564,268,0.038588635623455
21,TX,0.3429497909562056,0.77,0.77,337,0.038588635623455
22,CA,0.3685265655686356,0.773,0.773,365,0.0402795448899269
22,NY,0.2879869768645021,0.7518,0.7518,274,0.0402795448899269
22,TX,0.3434864575668623,0.771,0.771,361,0.0402795448899269
23,CA,0.3699438064835149,0.7686,0.7686,348,0.0377367138862609
23,NY,0.2856377453026833,0.7488,0.7488,295,0.0377367138862609
23,TX,0.3444184482138017,0.7704,0.7704,357,0.0377367138862609
24,CA,0.3710001424708292,0.771,0.771,385,0.0386270657181739
24,NY,0.283246424110236,0.7532,0.7532,291,0.0386270657181739
24,TX,0.3457534334189348,0.7634,0.7634,324,0.0386270657181739
25,CA,0.3726137879157232,0.7804,0.7804,344,0.0382689535617828
25,NY,0.2816191486815966,0.7554,0.7554,310,0.0382689535617828
25,TX,0.3457670634026801,0.7694,0.7694,346,0.0382689535617828
26,CA,0.3748971813659324,0.7738,0.7738,362,0.0385160595178604
26,NY,0.2793662535939513,0.755,0.755,275,0.0385160595178604
26,TX,0.3457365650401163,0.7626,0.7626,363,0.0385160595178604
27,CA,0.3768356041465971,0.7732,0.7732,381,0.038098357617855
27,NY,0.2778344966206926,0.7548,0.7548,291,0.038098357617855
27,TX,0.3453298992327103,0.7768,0.7768,328,0.038098357617855
28,CA,0.3776596243709993,0.7742,0.7742,348,0.0383509621024131
28,NY,0.275552717724647,0.7532,0.7532,277,0.0383509621024131
28,TX,0.3467876579043537,0.7738,0.7738,375,0.0383509621024131
29,CA,0.3789251262525434,0.7702,0.7702,390,0.0383297055959701
29,NY,0.2732036095762252,0.7548,0.7548,264,0.0383297055959701
29,TX,0.3478712641712314,0.7672,0.7672,346,0.0383297055959701
30,CA,0.380052477014345,0.7786,0.7786,371,0.0388271808624267
30,NY,0.2716325969386733,0.7566,0.7566,274,0.0388271808624267
30,TX,0.3483149260469816,0.7718,0.7718,355,0.0388271808624267
31,CA,0.3818439314668096,0.7712,0.7712,381,0.0405912175774574
31,NY,0.2695372552897903,0.7542,0.7542,261,0.0405912175774574
31,TX,0.3486188132434,0.767,0.767,358,0.0405912175774574
32,CA,0.3831518942577652,0.7724,0.7724,382,0.0387661457061767
32,NY,0.2678646408504017,0.749,0.749,259,0.0387661457061767
32,TX,0.3489834648918331,0.7678,0.7678,359,0.0387661457061767
33,CA,0.3848615264027341,0.7778,0.7778,377,0.0387152954936027
33,NY,0.2655076128106571,0.7538,0.7538,265,0.0387152954936027
33,TX,0.3496308607866088,0.7682,0.7682,358,0.0387152954936027
34,CA,0.3869791891434642,0.7704,0.7704,386,0.0384246930480003
34,NY,0.2633645120954452,0.7566,0.7566,255,0.0384246930480003
34,TX,0.3496562987610906,0.7672,0.7672,359,0.0384246930480003
35,CA,0.3880209830564251,0.7718,0.7718,405,0.0384597107768058
35,NY,0.2620151075060103,0.752,0.752,244,0.0384597107768058
35,TX,0.3499639094375645,0.7678,0.7678,351,0.0384597107768058
36,CA,0.3894690735551645,0.7698,0.7698,416,0.0387628301978111
36,NY,0.2600539791121681,0.752,0.752,260,0.0387628301978111
