t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.7746,0.7746,353,0.0678239800035953
0,NY,0.3333333333333333,0.7506,0.7506,324,0.0678239800035953
0,TX,0.3333333333333333,0.759,0.759,323,0.0678239800035953
1,CA,0.3358313462775822,0.781,0.781,322,0.0406888648867607
1,NY,0.331289504560766,0.7524,0.7524,319,0.0406888648867607
1,TX,0.3328791491616517,0.7574,0.7574,359,0.0406888648867607
2,CA,0.3391314182566052,0.7764,0.7764,333,0.0389243103563785
2,NY,0.3291726911866712,0.755,0.755,333,0.0389243103563785
2,TX,0.3316958905567236,0.7612,0.7612,334,0.0389243103563785
3,CA,0.3414545689491067,0.7772,0.7772,332,0.0403896905481815
3,NY,0.3274349673455095,0.757,0.757,325,0.0403896905481815
3,TX,0.3311104637053836,0.7602,0.7602,343,0.0403896905481815
4,CA,0.3438231537753239,0.774,0.774,335,0.03915536403656
4,NY,0.32595879591414,0.7476,0.7476,308,0.03915536403656
4,TX,0.3302180503105359,0.7564,0.7564,357,0.03915536403656
5,CA,0.3466402703128917,0.7814,0.7814,348,0.038845982402563
5,NY,0.3237389996762017,0.7496,0.7496,324,0.038845982402563
5,TX,0.3296207300109068,0.7562,0.7562,328,0.038845982402563
6,CA,0.3502980756981335,0.7764,0.7764,337,0.0384285822510719
6,NY,0.3213150585583019,0.7388,0.7388,345,0.0384285822510719
6,TX,0.3283868657435646,0.7562,0.7562,318,0.0384285822510719
7,CA,0.3540278561979437,0.769,0.769,369,0.0384215079247951
7,NY,0.3178627453743015,0.7378,0.7378,321,0.0384215079247951
7,TX,0.3281093984277548,0.7522,0.7522,310,0.0384215079247951
8,CA,0.3571429249369725,0.7728,0.7728,339,0.0382086485624313
8,NY,0.3150040995840812,0.7464,0.7464,325,0.0382086485624313
8,TX,0.3278529754789462,0.7524,0.7524,336,0.0382086485624313
9,CA,0.360191449179412,0.7758,0.7758,353,0.0379609242081642
9,NY,0.3129619456390815,0.7428,0.7428,309,0.0379609242081642
9,TX,0.3268466051815067,0.7544,0.7544,338,0.0379609242081642
10,CA,0.3637395921879186,0.775,0.775,380,0.0383906215429306
10,NY,0.3101717280440071,0.745,0.745,309,0.0383906215429306
10,TX,0.3260886797680741,0.7532,0.7532,311,0.0383906215429306
11,CA,0.3671345808139061,0.7768,0.7768,361,0.0386416390538215
11,NY,0.3077754685077452,0.7544,0.7544,305,0.0386416390538215
11,TX,0.3250899506783487,0.7588,0.7588,334,0.0386416390538215
12,CA,0.3697872317907634,0.7758,0.7758,375,0.0394629761576652
12,NY,0.3060910933284914,0.7536,0.7536,305,0.0394629761576652
12,TX,0.3241216748807451,0.761,0.761,320,0.0394629761576652
13,CA,0.372217022732475,0.7758,0.7758,393,0.0382514558732509
13,NY,0.3042506377519139,0.7508,0.7508,303,0.0382514558732509
13,TX,0.323532339515611,0.7584,0.7584,304,0.0382514558732509
14,CA,0.3750121341462211,0.777,0.777,364,0.0393519699573516
14,NY,0.302219910635354,0.752,0.752,288,0.0393519699573516
14,TX,0.3227679552184249,0.7636,0.7636,348,0.0393519699573516
15,CA,0.3775362493809239,0.7804,0.7804,354,0.0385333932936191
15,NY,0.29997363347952,0.7528,0.7528,309,0.0385333932936191
15,TX,0.3224901171395561,0.7642,0.7642,337,0.0385333932936191
16,CA,0.380421592930959,0.7718,0.7718,383,0.041545171290636
16,NY,0.2975804288174094,0.744,0.744,298,0.041545171290636
16,TX,0.3219979782516316,0.7552,0.7552,319,0.041545171290636
17,CA,0.3833681273742126,0.775,0.775,397,0.039278358221054
17,NY,0.2951800433835703,0.7536,0.7536,282,0.039278358221054
17,TX,0.321451829242217,0.7602,0.7602,321,0.039278358221054
18,CA,0.3857750026096269,0.7774,0.7774,399,0.0398791283369064
18,NY,0.2934521197893221,0.7548,0.7548,290,0.0398791283369064
18,TX,0.320772877601051,0.7582,0.7582,311,0.0398791283369064
19,CA,0.3885713119074698,0.7694,0.7694,408,0.0388488583266735
19,NY,0.2918208725682492,0.7442,0.7442,302,0.0388488583266735
19,TX,0.3196078155242809,0.752,0.752,290,0.0388488583266735
20,CA,0.3914283945205087,0.7734,0.7734,397,0.0393199175596237
20,NY,0.289779863701518,0.7506,0.7506,281,0.0393199175596237
20,TX,0.3187917417779732,0.7582,0.7582,322,0.0393199175596237
